Ville,Code Postal,lat,lon
Alfortville,,48.8051624,2.4197113
Asnières-sur-Seine,,48.9105948,2.2890454
Aubervilliers,93300.0,48.9146078,2.3821895
Aulnay-sous-Bois,,48.934231,2.499789
Bagnolet,93170.0,48.8688199,2.4173658
Beauchamp,95250.0,49.0115876,2.1993602
Bessancourt,,49.0372777,2.2136286
Bobigny,93000.0,48.906387,2.4452231
Boissy-Saint-Leger,,48.7479193,2.5124717
Bondy,93140.0,48.9031,2.48291
Bonneuil-sur-Marne,,48.7737116,2.4869009
Cergy,95800.0,49.0527528,2.0388736
Châtillon,,46.6591772,5.7302769
Clamart,,48.8003835,2.2630238
Clichy,,48.9026,2.30551
Clichy-sous-Bois,93390.0,48.910939,2.5460722
Colombes,92700.0,48.922788,2.2543577
Conflans-Sainte-Honorine,,48.9938791,2.0949768
Corbeil-Essonnes,,48.6137734,2.4818087
Courbevoie,,48.8953328,2.2561602
Créteil,,48.7771486,2.4530731
Domont,,49.0285536,2.3278097
Drancy,93700.0,48.9229803,2.4455201
Dugny,,48.9538155,2.414733
Eaubonne,,48.9911296,2.2792058
Épinay-sous-Senart,,48.6953018,2.5159134
Epinay-sur-Seine,93800.0,48.9525181,2.3145039
Ermont,,48.9917676,2.2585679
Fosses,,49.0986649,2.5161998
Franconville,,48.5000906,6.4527267
Gagny,93220.0,48.8853708,2.5361783
Gennevilliers,92230.0,48.9254221,2.2940122
Goussainville,,49.0323168,2.4733628
Herblay-sur-Seine,,48.9898588,2.166162
Issy-les-Moulineaux,,48.8250508,2.273457
Ivry-sur-Seine,,48.8122302,2.3872525
Joinville-le-Pont,,48.8183717,2.4668077
L'Ile Saint-Denis,93450.0,48.9355885,2.3397438
La Courneuve,93120.0,48.9267236,2.3896123
La Garenne-Colombes,,48.9069349,2.2465748
Le Blanc-Mesnil,93150.0,48.9385489,2.4631476
Le Bourget,,48.9351403,2.4258354
Le Pré-Saint-Gervais,,48.8830565,2.4040111
Le Raincy,,48.8986666,2.5155626
Les Lilas,,48.8795658,2.415796
Les Pavillons-sous-Bois,,48.9082988,2.5034999
Levallois-Perret,,48.892956,2.2881683
Limeil-Brévannes,,48.7489857,2.4809129
Montfermeil,93370.0,48.8992679,2.5660399
Montmagny,,48.9728571,2.343561
Montreuil,93100.0,50.4638918,1.7631125
Montreuil sous Bois,,48.8623357,2.4412184
Nanterre,92000.0,48.8924273,2.2071267
Neuilly-Plaisance,,48.8608712,2.5060144
Neuilly-sur-Marne,93330.0,48.8565557,2.5290045
Neuilly-sur-Seine,,48.884683,2.2695658
Noisy-le-Grand,93160.0,48.8492238,2.5524906
Noisy-le-Sec,,48.8897751,2.4516055
Pantin,93500.0,48.8965023,2.4019804
Paris 13e,75013.0,48.8290105,2.3636124
Paris 18e,75018.0,48.8900117,2.3464668
Pierrefitte-sur-Seine,93380.0,48.9604142,2.3630546
Puteaux,,48.8841522,2.2368863
Romainville,,48.8852958,2.4358326
Rosny-sous-Bois,,48.8716626,2.4875193
Rueil-Malmaison,92500.0,48.87778,2.1802832
Saint-Brice-sous-Forêt,95350.0,48.9973824,2.3568948
Saint-Denis,93200.0,48.935773,2.3580232
Saint-Gratien,,49.9656998,2.4081341
Saint-Ouen-sur-Seine,93400.0,48.911729,2.334267
Sannois,,48.9717267,2.2568296
Sarcelles,,48.9960813,2.3796245
Sevran,93270.0,48.937634,2.5298164
Stains,93240.0,48.9565669,2.3825154
Suresnes,,48.8709053,2.2255727
Taverny,,49.0265888,2.2234971
Tremblay-en-France,,48.9802035,2.5589558
Vaujours,,48.9302563,2.5691921
Villecresnes,,48.7208822,2.5327265
Villemomble,93250.0,48.881886,2.5076181
Villeneuve-la-Garenne,,48.9350488,2.3324727
Villepinte,,43.2814917,2.0855714
Villetaneuse,,48.9611722,2.3439698
Villiers-Le-Bel,,49.0074999,2.3880847
